,Topic
46,numéro sans frais - québec québec - humaniste dernière - santé mentale - hommes et femmes - centre de réadaptation - évaluation des conducteurs - clientèle jeunes - dépendances aux substances - nord du québec - cognitivo comportementale dernière - prévention de la rechute - communauté thérapeutique - cognitivo comportementale entretien - cognitivo comportementale entretien motivationnel - traitements de substitution - centre de traitement - évaluation des conducteurs saaq - durée du programme - clientèle jeunes et adultes - service de soutien - désintoxication en externe - ressource certifiée - ressource certifiée en dépendances - réinsertion sociale thérapie - réinsertion sociale thérapie individuelle - abitibi témiscamingue - centre de traitement des dépendances - estrie fiche de la ressource - estrie fiche
47,dépendances aux substances - thérapie individuelle ou de groupe - thérapie individuelle - réinsertion sociale clientèle - jeu pathologique - ressource publique services - ressource publique - formation des intervenants - cisss et ciusss - durée du programme - sherbrooke québec - centre de réadaptation - dépendance le virage - réadaptation en dépendance le virage - désintoxication avec hébergement - centres intégrés - réinsertion sociale - réadaptation en externe - services de réadaptation - services de réadaptation en externe - traitement des dépendances - clientèle jeunes - fiche de la ressource - saaq dernière - évaluation des conducteurs saaq dernière - évaluation des conducteurs - aide et soutien - chaudière appalaches fiche - centre de santé - santé mentale
48,québec québec - centre de traitement - cognitivo comportementale dernière - communauté thérapeutique dernière - évaluation des conducteurs saaq dernière - saaq dernière - réadaptation en externe et avec hébergement - services de réadaptation en externe et avec hébergement - réinsertion sociale clientèle - centre du québec - ressource publique services de réadaptation - services offerts - nord du québec - cognitivo comportementale entretien - cognitivo comportementale entretien motivationnel - dépendances aux substances - désintoxication avec hébergement - chaudière appalaches fiche - aide et soutien - jours approche - lanaudière fiche - lanaudière fiche de la ressource - québec fiche de la ressource - québec fiche - ressource certifiée en dépendances - ressource certifiée - thérapie individuelle ou de groupe - thérapie individuelle - jeu pathologique - laurentides fiche de la ressource
49,québec centre - numéro sans frais - santé mentale - entretien motivationnel - thérapie individuelle - thérapie individuelle ou de groupe - centre de traitement - réinsertion sociale clientèle - cognitivo comportementale dernière - services sociaux - désintoxication en externe - service de soutien - hommes et femmes - humaniste dernière - réadaptation en externe et avec hébergement - services de réadaptation en externe et avec hébergement - centre du québec - capitale nationale québec - capitale nationale - réinsertion sociale - réadaptation en dépendance - centre de réadaptation en dépendance - saaq dernière - évaluation des conducteurs saaq dernière - durée du programme - réadaptation en externe - services de réadaptation - services de réadaptation en externe - répertoire des ressources en dépendances - alcool drogues jeu
50,santé mentale - durée du programme - québec centre - centre du québec fiche - ressource certifiée en dépendances - ressource certifiée - services de réadaptation en externe et avec hébergement - réadaptation en externe et avec hébergement - québec fiche de la ressource - québec fiche - fiche de la ressource - dépendances aux substances - entretien motivationnel - centre de réadaptation - clientèle jeunes et adultes - centre de santé - désintoxication en externe réinsertion - désintoxication en externe réinsertion sociale - centre de traitement - mauricie et centre du québec - mauricie et centre - chaudière appalaches fiche - jeu pathologique - cognitivo comportementale - réinsertion sociale thérapie - réinsertion sociale thérapie individuelle - services sociaux - services offerts - évaluation des conducteurs saaq - formation des intervenants
51,communauté thérapeutique - centre du québec - ressource certifiée - ressource certifiée en dépendances - nord du québec - fiche de la ressource - dépendances aux substances - numéro sans frais - ressource publique services - jours approche - centre de traitement - prévention de la rechute - évaluation des conducteurs saaq dernière - saaq dernière - réadaptation en dépendance - centre de réadaptation en dépendance - entretien motivationnel - durée du programme - désintoxication avec hébergement - désintoxication en externe réinsertion - désintoxication en externe réinsertion sociale - ressource publique services de réadaptation - capitale nationale - capitale nationale québec - jeu pathologique - services de réadaptation - services de réadaptation en externe - réadaptation en externe - cognitivo comportementale - sherbrooke québec
52,traitements de substitution - réinsertion sociale clientèle - québec québec - ressource publique - réinsertion sociale thérapie - réinsertion sociale thérapie individuelle - alcool drogues - chaudière appalaches - ressource publique services - centre de traitement des dépendances - durée du programme - centre de réadaptation en dépendance - réadaptation en dépendance - québec centre - santé mentale - services sociaux - cognitivo comportementale - désintoxication en externe réinsertion - désintoxication en externe réinsertion sociale - fiche de la ressource - dépendance le virage - réadaptation en dépendance le virage - communauté thérapeutique dernière - toxicomanie pour les problèmes de jeu - toxicomanie pour les problèmes - régions ressources publiques - problèmes de jeu pathologique - problèmes de jeu - toxicomanie pour les problèmes de jeu pathologique - services offerts
53,clientèle jeunes et adultes - traitements de substitution - centre du québec - ressource publique - chaudière appalaches fiche - fiche de la ressource - communauté thérapeutique dernière - centre de réadaptation - entretien motivationnel - ressource publique services de réadaptation - numéro sans frais - centre de traitement - dépendances aux substances - ressource publique services - service de soutien - désintoxication en externe - services offerts - alcool drogues jeu - capitale nationale québec - capitale nationale - répertoire des ressources en dépendances - ressource certifiée - ressource certifiée en dépendances - cognitivo comportementale dernière - conseil de la fédération - initiative du projet - sante mentale - matière de santé mentale et de traitement - matière de santé - santé mentale et de traitement
54,communauté thérapeutique - québec centre - centre de traitement - centre de réadaptation - clientèle jeunes - traitements de substitution - cognitivo comportementale dernière - jours approche - désintoxication avec hébergement - services offerts - centre de santé - dépendance le virage - réadaptation en dépendance le virage - évaluation des conducteurs - chaudière appalaches fiche - entretien motivationnel - côte nord - centre du québec fiche - sherbrooke québec - services sociaux - alcool drogues jeu - montérégie fiche de la ressource - montérégie fiche - ressource publique - lanaudière fiche de la ressource - lanaudière fiche - service de soutien - désintoxication en externe - réinsertion sociale thérapie - réinsertion sociale thérapie individuelle
55,québec centre - centre du québec - chaudière appalaches fiche - cognitivo comportementale - québec québec - centre de réadaptation - centre de traitement des dépendances - communauté thérapeutique dernière - durée du programme - traitements de substitution - humaniste dernière - saaq dernière - évaluation des conducteurs saaq dernière - centre de santé - clientèle jeunes - évaluation des conducteurs - réadaptation en externe et avec hébergement - services de réadaptation en externe et avec hébergement - hommes et femmes - prévention de la rechute - santé mentale - centre intégré - fiche de la ressource - ressource publique - évaluation des conducteurs saaq - ressource certifiée en dépendances - ressource certifiée - capitale nationale - capitale nationale québec - réinsertion sociale thérapie
56,communauté thérapeutique dernière - ressource certifiée en dépendances - ressource certifiée - clientèle jeunes - désintoxication avec hébergement - chaudière appalaches - évaluation des conducteurs - entretien motivationnel - services offerts - québec centre - humaniste dernière - centre de traitement - désintoxication en externe - service de soutien - fiche de la ressource - cognitivo comportementale dernière - services sociaux - mauricie et centre du québec - mauricie et centre - dépendance le virage - réadaptation en dépendance le virage - nord du québec - dépendances aux substances - réadaptation en externe - services de réadaptation - services de réadaptation en externe - réinsertion sociale - hommes et femmes - capitale nationale québec - capitale nationale
57,alcool drogues - centre de réadaptation - ressource publique - chaudière appalaches - numéro sans frais - désintoxication en externe - service de soutien - centre du québec - réinsertion sociale - services offerts - centre de santé - fiche de la ressource - québec centre - réadaptation en externe et avec hébergement - services de réadaptation en externe et avec hébergement - prévention de la rechute - traitement des dépendances - durée du programme - communauté thérapeutique - saaq dernière - évaluation des conducteurs saaq dernière - cognitivo comportementale entretien motivationnel - cognitivo comportementale entretien - jours approche - québec québec - sherbrooke québec - msss et santé - côte nord - gouvernement fédéral - jeu pathologique
58,services sociaux - services offerts - désintoxication en externe - service de soutien - québec québec - québec centre - chaudière appalaches fiche - numéro sans frais - réinsertion sociale - services de réadaptation - services de réadaptation en externe - réadaptation en externe - santé mentale - centre du québec - désintoxication avec hébergement - cognitivo comportementale - traitement des dépendances - jours approche - québec fiche de la ressource - québec fiche - prévention de la rechute - sherbrooke québec - centre de réadaptation en dépendance - réadaptation en dépendance - côte nord - centre de traitement des dépendances - thérapie individuelle ou de groupe - thérapie individuelle - évaluation des conducteurs - cognitivo comportementale entretien motivationnel
59,clientèle jeunes et adultes - évaluation des conducteurs saaq - centre du québec - évaluation des conducteurs - désintoxication avec hébergement - alcool drogues - santé mentale - centre de traitement - québec fiche - québec fiche de la ressource - traitements de substitution - réinsertion sociale - traitement des dépendances - chaudière appalaches - réadaptation en dépendance le virage - dépendance le virage - centre intégré - jours approche - cognitivo comportementale entretien motivationnel - cognitivo comportementale entretien - ressource publique services de réadaptation - prévention de la rechute - réadaptation en externe et avec hébergement - services de réadaptation en externe et avec hébergement - communauté thérapeutique - cognitivo comportementale dernière - sherbrooke québec - durée du programme - ressource certifiée en dépendances - ressource certifiée
60,traitement des dépendances - centre de traitement - clientèle jeunes - chaudière appalaches fiche - services offerts - ressource publique - québec fiche - québec fiche de la ressource - réinsertion sociale clientèle - réinsertion sociale thérapie individuelle - réinsertion sociale thérapie - centre du québec - communauté thérapeutique dernière - humaniste dernière - hommes et femmes - fiche de la ressource - traitements de substitution - désintoxication en externe réinsertion - désintoxication en externe réinsertion sociale - estrie fiche - estrie fiche de la ressource - montérégie fiche de la ressource - montérégie fiche - centre de réadaptation - cognitivo comportementale entretien - cognitivo comportementale entretien motivationnel - dépendances aux substances - répertoire des ressources en dépendances - alcool drogues jeu - numéro sans frais
61,québec centre - traitements de substitution - désintoxication en externe - service de soutien - traitement des dépendances - québec québec - mauricie et centre - mauricie et centre du québec - ressource publique services - réadaptation en externe et avec hébergement - services de réadaptation en externe et avec hébergement - répertoire des ressources en dépendances - centre du québec fiche - sherbrooke québec - prévention de la rechute - nord du québec - alcool drogues jeu - dépendances aux substances - réadaptation en dépendance - centre de réadaptation en dépendance - jours approche - cognitivo comportementale - abitibi témiscamingue - réinsertion sociale - ministère de la santé - ministère de la santé et des services sociaux - ministère de la santé et des services - hébergement en dépendance - désintoxication avec hébergement - formation des intervenants
62,service de soutien - désintoxication en externe - chaudière appalaches fiche - alcool drogues - québec fiche de la ressource - québec fiche - centre de traitement des dépendances - traitements de substitution - services offerts - nord du québec - durée du programme - services de réadaptation en externe et avec hébergement - réadaptation en externe et avec hébergement - centre du québec - clientèle jeunes - centre intégré - msss et santé - entretien motivationnel - ministère de la santé et des services - ministère de la santé - ministère de la santé et des services sociaux - services sociaux msss - gouvernement fédéral - réseau de la santé - réseau de la santé et des services - réseau de la santé et des services sociaux - hommes et femmes - humaniste dernière - cisss et ciusss - formation des intervenants
63,ressource publique - évaluation des conducteurs - nord du québec - fiche de la ressource - répertoire des ressources en dépendances - réadaptation en externe et avec hébergement - services de réadaptation en externe et avec hébergement - évaluation des conducteurs saaq - dépendances aux substances - cognitivo comportementale - mauricie et centre du québec - mauricie et centre - désintoxication en externe - service de soutien - québec québec - réinsertion sociale clientèle - centre de traitement des dépendances - thérapie individuelle - thérapie individuelle ou de groupe - services offerts - services sociaux - désintoxication en externe réinsertion sociale - désintoxication en externe réinsertion - initiative du projet - sante mentale - conseil de la fédération - chaudière appalaches fiche - réinsertion sociale thérapie - réinsertion sociale thérapie individuelle - hommes et femmes
64,alcool drogues - chaudière appalaches fiche - clientèle jeunes et adultes - mauricie et centre du québec - mauricie et centre - réadaptation en externe - services de réadaptation en externe - services de réadaptation - cognitivo comportementale dernière - désintoxication avec hébergement - capitale nationale québec - capitale nationale - msss et santé - centre du québec fiche - évaluation des conducteurs - centre de traitement - ressource certifiée en dépendances - ressource certifiée - désintoxication en externe réinsertion - désintoxication en externe réinsertion sociale - québec centre - numéro sans frais - québec québec - communauté thérapeutique dernière - durée du programme - traitement des dépendances - cognitivo comportementale entretien - cognitivo comportementale entretien motivationnel - gouvernement fédéral - fiche de la ressource
65,services sociaux - ressource publique services de réadaptation - traitements de substitution - ressource publique - fiche de la ressource - santé mentale - évaluation des conducteurs saaq - alcool drogues - nord du québec - ressource certifiée - ressource certifiée en dépendances - chaudière appalaches fiche - évaluation des conducteurs saaq dernière - saaq dernière - réadaptation en externe et avec hébergement - services de réadaptation en externe et avec hébergement - désintoxication avec hébergement - clientèle jeunes - réinsertion sociale - mauricie et centre - mauricie et centre du québec - centre de traitement des dépendances - hommes et femmes - lanaudière fiche - lanaudière fiche de la ressource - réadaptation en dépendance - centre de réadaptation en dépendance - centre de réadaptation - dépendances aux substances - thérapie individuelle ou de groupe
66,évaluation des conducteurs saaq - ressource publique services de réadaptation - durée du programme - ressource publique services - centre du québec fiche - désintoxication en externe réinsertion - désintoxication en externe réinsertion sociale - clientèle jeunes - centre intégré - québec centre - service de soutien - désintoxication en externe - ministère de la santé et des services sociaux - ministère de la santé et des services - ministère de la santé - msss et santé - cognitivo comportementale - québec québec - mauricie et centre du québec - mauricie et centre - capitale nationale - capitale nationale québec - lanaudière fiche de la ressource - lanaudière fiche - cisss et ciusss - formation des intervenants - services sociaux msss - traitement des dépendances - réadaptation en dépendance - centre de réadaptation en dépendance
67,services sociaux - durée du programme - ressource publique services - nord du québec - services de réadaptation en externe et avec hébergement - réadaptation en externe et avec hébergement - centre de réadaptation - évaluation des conducteurs - traitements de substitution - mauricie et centre - mauricie et centre du québec - alcool drogues - évaluation des conducteurs saaq - chaudière appalaches fiche - évaluation des conducteurs saaq dernière - saaq dernière - centre de traitement - entretien motivationnel - cognitivo comportementale dernière - communauté thérapeutique dernière - capitale nationale québec - capitale nationale - réinsertion sociale thérapie individuelle - réinsertion sociale thérapie - montérégie fiche de la ressource - montérégie fiche - aide et soutien - initiative du projet - sante mentale - conseil de la fédération
68,ressource publique services - évaluation des conducteurs - santé mentale - fiche de la ressource - ressource certifiée en dépendances - ressource certifiée - québec fiche de la ressource - québec fiche - ressource publique - services de réadaptation en externe et avec hébergement - réadaptation en externe et avec hébergement - alcool drogues - désintoxication en externe réinsertion - désintoxication en externe réinsertion sociale - répertoire des ressources en dépendances - évaluation des conducteurs saaq - centre de traitement des dépendances - dépendances aux substances - centre de santé - chaudière appalaches fiche - formation des intervenants - cisss et ciusss - jours approche - ministère de la santé - ministère de la santé et des services - ministère de la santé et des services sociaux - communauté thérapeutique dernière - hébergement en dépendance - abitibi témiscamingue - centres intégrés
69,centre du québec fiche - centre du québec - nord du québec - centre intégré - services sociaux - ressource publique services - évaluation des conducteurs - alcool drogues jeu - fiche de la ressource - santé mentale - capitale nationale québec - capitale nationale - ressource certifiée en dépendances - ressource certifiée - ressource publique - clientèle jeunes et adultes - réadaptation en externe et avec hébergement - services de réadaptation en externe et avec hébergement - centre de réadaptation - québec québec - msss et santé - chaudière appalaches - cognitivo comportementale entretien motivationnel - cognitivo comportementale entretien - thérapie individuelle - thérapie individuelle ou de groupe - prévention de la rechute - communauté thérapeutique dernière - traitement des dépendances - réinsertion sociale
70,répertoire des ressources en dépendances - dépendances aux substances - centre du québec fiche - centre du québec - abitibi témiscamingue - jeu pathologique - formation des intervenants - cisss et ciusss - ressource publique services de réadaptation - québec fiche - québec fiche de la ressource - alcool drogues - hébergement en dépendance - centres intégrés - durée du programme - chaudière appalaches fiche - centre de santé - numéro sans frais - saaq dernière - évaluation des conducteurs saaq dernière - services sociaux cisss - services sociaux ciusss - quiz pour les jeunes - centre de traitement des dépendances - certificat de conformité - attestation temporaire - prévention des dépendances - semaine de prévention des dépendances - attestation temporaire de conformité - règlement sur la certification
71,centre intégré - répertoire des ressources en dépendances - dépendances aux substances - mauricie et centre - mauricie et centre du québec - nord du québec - jeu pathologique - ressource publique services - santé mentale - services sociaux - cisss et ciusss - formation des intervenants - services offerts - service de soutien - désintoxication en externe - réadaptation en externe et avec hébergement - services de réadaptation en externe et avec hébergement - capitale nationale - capitale nationale québec - centre de réadaptation - chaudière appalaches - quiz pour les jeunes - saaq dernière - évaluation des conducteurs saaq dernière - centres intégrés - évaluation des conducteurs - prévention des dépendances - semaine de prévention des dépendances - semaine de prévention - clientèle jeunes
72,ressource publique - ressource certifiée - ressource certifiée en dépendances - avantages d'ensemble perçus - ans anglais quiz vrai - aide et soutien à la récupération - capitale nationale québec - cisss et ciusss - certification des ressources communautaires ou privées - avantages d'ensemble - formation des intervenants - alcool les drogues - cession d'un certificat de conformité - attestation temporaire - choix éclairés - certificat de conformité - msss et santé - aide et soutien à l'entourage - semaine de prévention - campagne sur l'alcool - alcool de cannabis - accès à un service en clsc - attente d'un service en clsc - évaluation des conducteurs saaq - réadaptation en dépendance - répertoire des indicateurs - répertoire des indicateurs de gestion - hébergement en dépendance - sante mentale - initiative du projet
73,ans anglais quiz - argent jha - approche s préconisée - centre de réadaptation dans un délai - capitale nationale québec - campagne médiatique - alcool de cannabis - ressource publique - centres intégrés - choix éclairés dans différentes situations - jeux de hasard - argent chez les jeunes - ressource certifiée en dépendances - ressource certifiée - gouvernement fédéral - ressource publique services de réadaptation - hébergement en dépendance - cession d'un certificat - indicateurs de gestion - évaluation des conducteurs - certification des ressources communautaires - centre de réadaptation en dépendance - formation des intervenants - clsc dans les délais établis selon la priorisation - conseil de la fédération - services sociaux msss - règlement sur la certification - santé et services sociaux - santé et services - gestion en santé
74,attestation temporaire - alcool les drogues - argent jha - campagne médiatique la spd - formation des intervenants - attente d'un service en clsc - attestation temporaire de conformité - cisss et ciusss - semaine de prévention - campagne sur l'alcool - gouvernement fédéral - clsc dans les délais établis - aide et soutien à l'entourage - accès à un service - capitale nationale québec - accès à un service en clsc dans les délais - aide et soutien à la récupération - clsc dans les délais établis selon la priorisation - accès à un service en clsc - réseau de la santé - réseau de la santé et des services sociaux - réseau de la santé et des services - consommation d'alcool - ressource publique services de réadaptation - évaluation des conducteurs - cognitivo comportementale entretien motivationnel - conseil de la fédération - indicateurs de gestion - cession d'un certificat - clsc dans les délais
75,accès à un service en clsc - capitale nationale - certification des ressources communautaires - quiz pour les jeunes - ministère de la santé - ministère de la santé et des services - ministère de la santé et des services sociaux - attente d'un service en clsc - ressource publique services de réadaptation - évaluation des conducteurs - ressource publique - attente d'un service - quiz vrai ou faux - quiz vrai ou faux activité - quiz vrai - msss et santé - conseil de la fédération - ans anglais quiz - ressource certifiée en dépendances - ressource certifiée - choix éclairés - services sociaux cisss - services sociaux ciusss - attestation temporaire de conformité - attestation temporaire - centre de réadaptation en dépendance - accès à un service - jeux de hasard - engagement social - alcool les drogues
76,avantages d'ensemble perçus - argent chez les jeunes - certificat de conformité - certification des ressources communautaires ou privées - campagne médiatique - alcool les drogues - certification des ressources communautaires - campagne d'information et de sensibilisation - choix éclairés - campagne médiatique la spd - accès à un service en clsc - services sociaux msss - gouvernement fédéral - centres intégrés - aide et soutien à la récupération - alcool de cannabis - répertoire des indicateurs - répertoire des indicateurs de gestion - quiz vrai ou faux activité - quiz vrai ou faux - quiz vrai - cession d'un certificat - services de santé - attestation temporaire - centre de réadaptation dans un délai - centre d'hébergement - évaluation des conducteurs saaq - matière de santé mentale et de traitement - matière de santé - matière de santé mentale
77,accès à un service en clsc - campagne d'information et de sensibilisation - ans anglais quiz - cession d'un certificat - avantages d'ensemble - choix éclairés dans différentes situations - certification des ressources communautaires ou privées - cisss et ciusss - réadaptation en dépendance - ressource publique services de réadaptation - appel à projets - attestation temporaire - msss et santé - évaluation des conducteurs - répertoire des indicateurs de gestion - répertoire des indicateurs - choix éclairés - alcool de cannabis - hébergement en dépendance - argent chez les jeunes - clsc dans les délais établis selon la priorisation - clsc dans les délais établis - pratique des jha - formation des intervenants - prévention des dépendances - semaine de prévention des dépendances - alcool les drogues - initiative le projet - matière de santé mentale - matière de santé
78,attente d'un service en clsc - ans anglais quiz vrai - accès à un service en clsc dans les délais - campagne médiatique - alcool de cannabis - accès aux services - alcool les drogues - accès à un service - choix éclairés - centres intégrés - approche s préconisée - appel à projets - attestation temporaire de conformité - capitale nationale - certification des ressources communautaires - choix éclairés dans différentes situations - ans anglais quiz - certification des ressources communautaires ou privées - ministère de la santé et des services sociaux - ministère de la santé - ministère de la santé et des services - centre de réadaptation dans un délai - clsc dans les délais établis - réadaptation en dépendance - campagne sur l'alcool - pratique des jha - cession d'un certificat - conseil de la fédération pour l'innovation en matière - ressource publique services de réadaptation - évaluation des conducteurs
79,argent chez les jeunes - appel à projets - ans anglais quiz vrai - règlement sur la certification - alcool de cannabis - campagne médiatique la spd - attente d'un service en clsc - services sociaux ciusss - services sociaux cisss - aide et soutien à la récupération - centre de réadaptation dans un délai - capitale nationale - services sociaux msss - production originale - pratiques reconnues - évaluation des conducteurs saaq - clsc dans les délais - attestation temporaire - services de santé - cognitivo comportementale entretien motivationnel - msss et santé - cisss et ciusss - attente d'un service - accès à un service en clsc - cession d'un certificat de conformité - réadaptation en dépendance - jeux de hasard - clsc dans les délais établis - certificat de conformité - règlement sur la certification des ressources communautaires
80,ans anglais quiz vrai - argent chez les jeunes - attestation temporaire - semaine de prévention - accès aux services de santé - quiz pour les jeunes - accès à un service - capitale nationale - campagne médiatique la spd - choix éclairés - campagne sur l'alcool - cognitivo comportementale entretien - certification des ressources communautaires ou privées - consommation d'alcool - msss et santé - approche s préconisée - hébergement en dépendance - centres intégrés - matière de santé - santé mentale et de traitement - secrétariat du cdf - initiative le projet - matière de santé mentale - matière de santé mentale et de traitement - appel à projets - ministère de la santé - ministère de la santé et des services - ministère de la santé et des services sociaux - certificat de conformité - indicateurs de gestion
81,accès à un service en clsc dans les délais - accès à un service - alcool de cannabis - formation des intervenants - accès aux services de santé - campagne d'information et de sensibilisation - attestation temporaire de conformité - cisss et ciusss - avantages d'ensemble perçus - aide et soutien à la désintoxication - cession d'un certificat - jeux de hasard - accès aux services - services sociaux msss - ressource publique services de réadaptation - pratique des jha - gouvernement fédéral - évaluation des conducteurs - msss et santé - quiz pour les jeunes - quiz vrai ou faux activité - quiz vrai ou faux - quiz vrai - choix éclairés dans différentes situations - clsc dans les délais établis selon la priorisation - indicateurs de gestion - appel à projets - conseil de la fédération - semaine de prévention - règlement sur la certification
82,attente d'un service en clsc - approche s préconisée - centre d'hébergement - accès à un service - campagne d'information et de sensibilisation - certification des ressources communautaires - ans anglais quiz - accès aux services de santé - alcool les drogues - services sociaux msss - règlement sur la certification - alcool de cannabis - semaine de prévention des dépendances - prévention des dépendances - certification des ressources communautaires ou privées - cisss et ciusss - hébergement en dépendance - évaluation des conducteurs saaq - quiz pour les jeunes - services sociaux ciusss - services sociaux cisss - règlement sur la certification des ressources communautaires - formation des intervenants - msss et santé - certificat de conformité - capitale nationale - jeux de hasard - services de réadaptation en externe - services de réadaptation - réadaptation en externe
83,appel à projets - attente d'un service - avantages d'ensemble perçus - argent jha - approche s préconisée - campagne médiatique la spd - aide et soutien à l'entourage - pratique des jha - centre de réadaptation dans un délai - attente d'un service en clsc - capitale nationale - semaine de prévention - certificat de conformité - ressource publique services de réadaptation - campagne sur l'alcool - évaluation des conducteurs - conséquences liés - facteurs de protection - matériel de sensibilisation - msss collabore - msss collabore avec le ministère - matière de consommation et de pratique des jha - partenaires pour diffuser du matériel - matière de consommation et de pratique - matière de consommation - jeunes les risques - semaine de prévention des dépendances spd - sensibilisation visant - partenaires pour diffuser - prévention des dépendances spd
84,alcool de cannabis - aide et soutien à la récupération - campagne médiatique la spd - accès à un service en clsc - aide et soutien à l'entourage - ressource publique services de réadaptation - campagne sur l'alcool - évaluation des conducteurs - attestation temporaire - avantages d'ensemble perçus - ans anglais quiz - fiche de la ressource - choix éclairés dans différentes situations - centre de réadaptation dans un délai - règlement sur la certification des ressources communautaires - certificat de conformité - consommation d'alcool - campagne médiatique - réseau de la santé - réseau de la santé et des services - réseau de la santé et des services sociaux - pratique des jha - accès aux services de santé - jeunes et semaine de prévention des dépendances - jeunes et semaine de prévention - jeunes et semaine - risques associés - centre de réadaptation en dépendance - semaine de prévention - capitale nationale
85,accès à un service en clsc dans les délais - approche s préconisée - certificat de conformité - ans anglais quiz vrai - campagne médiatique la spd - choix éclairés dans différentes situations - certification des ressources communautaires ou privées - fiche de la ressource - aide et soutien à la désintoxication - attente d'un service en clsc - centre de réadaptation en dépendance - règlement sur la certification des ressources communautaires - choix éclairés - argent jha - ressource publique services de réadaptation - accès à un service en clsc - semaine de prévention des dépendances - prévention des dépendances - alcool les drogues - évaluation des conducteurs - ministère de la santé - ministère de la santé et des services - ministère de la santé et des services sociaux - aide et soutien à la récupération - clsc dans les délais - centre d'hébergement - indicateurs de gestion - campagne médiatique - jeunes et semaine - jeunes et semaine de prévention
86,attente d'un service en clsc - aide et soutien à la désintoxication - avantages d'ensemble - aide et soutien à la récupération - centre de réadaptation dans un délai - attestation temporaire - semaine de prévention - répertoire des indicateurs - répertoire des indicateurs de gestion - centres intégrés - pratique des jha - fiche de la ressource - argent chez les jeunes - formation des intervenants - cession d'un certificat de conformité - cession d'un certificat - quiz pour les jeunes - ressource publique services de réadaptation - campagne sur l'alcool - évaluation des conducteurs - choix éclairés - avantages d'ensemble perçus - dépendances spd - facteurs de protection - partenaires pour diffuser - pratique des jeux - jeunes les risques - matière de consommation - matière de consommation et de pratique - matière de consommation et de pratique des jha
87,campagne médiatique - attente d'un service - cession d'un certificat - certification des ressources communautaires - accès aux services - aide et soutien à la récupération - centre de réadaptation dans un délai - prévention des dépendances - semaine de prévention des dépendances - jeux de hasard - appel à projets - choix éclairés - matière de santé mentale - matière de santé mentale et de traitement - matière de santé - initiative le projet - secrétariat du cdf - santé mentale et de traitement - aide et soutien à la désintoxication - clsc dans les délais établis selon la priorisation - msss et santé - ressource publique - certification des ressources communautaires ou privées - réadaptation en dépendance - attestation temporaire - règlement sur la certification - services sociaux msss - cisss et ciusss - ressource certifiée en dépendances - ressource certifiée
88,semaine de prévention - campagne sur l'alcool - cisss et ciusss - capitale nationale - réseau de la santé et des services sociaux - réseau de la santé - réseau de la santé et des services - formation des intervenants - réadaptation en dépendance - cession d'un certificat de conformité - campagne médiatique - quiz pour les jeunes - conseil de la fédération pour l'innovation en matière - certification des ressources communautaires - services de santé - règlement sur la certification - pratiques reconnues - production originale - accès à un service - alcool les drogues - répertoire des indicateurs de gestion - répertoire des indicateurs - argent jha - certificat de conformité - aide et soutien à la désintoxication - clsc dans les délais établis - cognitivo comportementale entretien motivationnel - initiative du projet - sante mentale - hébergement en dépendance
89,avantages d'ensemble perçus - alcool les drogues - choix éclairés - choix éclairés dans différentes situations - accès aux services de santé - approche s préconisée - certification des ressources communautaires ou privées - répertoire des indicateurs - répertoire des indicateurs de gestion - capitale nationale québec - clsc dans les délais - appel à projets - cognitivo comportementale entretien - aide et soutien à la désintoxication - consommation d'alcool - risques associés - jeunes et semaine de prévention - jeunes et semaine - jeunes et semaine de prévention des dépendances - attestation temporaire - fiche de la ressource - avantages d'ensemble - ministère de la santé et des services sociaux - ministère de la santé et des services - ministère de la santé - certification des ressources communautaires - centre de réadaptation dans un délai - argent jha - services de santé - réseau de la santé et des services sociaux
90,accès aux services - argent chez les jeunes - centre de réadaptation dans un délai - attestation temporaire de conformité - accès aux services de santé - ans anglais quiz - campagne d'information et de sensibilisation - campagne médiatique la spd - ressource publique services de réadaptation - évaluation des conducteurs - choix éclairés dans différentes situations - centre de réadaptation en dépendance - cession d'un certificat de conformité - capitale nationale - accès à un service en clsc dans les délais - aide et soutien à la désintoxication - règlement sur la certification - pratique des jha - formation des intervenants - certificat de conformité - cisss et ciusss - attente d'un service en clsc - ressource publique - ministère de la santé et des services - ministère de la santé - ministère de la santé et des services sociaux - production originale - pratiques reconnues - campagne sur l'alcool - ressource certifiée
91,attente d'un service - campagne médiatique la spd - attestation temporaire de conformité - attente d'un service en clsc - alcool de cannabis - aide et soutien à la désintoxication - capitale nationale québec - ans anglais quiz vrai - formation des intervenants - avantages d'ensemble - hébergement en dépendance - répertoire des indicateurs - répertoire des indicateurs de gestion - choix éclairés dans différentes situations - semaine de prévention - campagne d'information et de sensibilisation - réseau de la santé et des services sociaux - réseau de la santé et des services - réseau de la santé - centre d'hébergement - ressource publique services de réadaptation - accès à un service en clsc - campagne sur l'alcool - évaluation des conducteurs - quiz pour les jeunes - cession d'un certificat - santé mentale et de traitement - matière de santé mentale et de traitement - matière de santé - initiative le projet
