,Topic
44,centre de traitement - cognitivo comportementale - évaluation des conducteurs saaq dernière - guide d'animation - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - groupes d'âge - groupes d'âge pour découvrir - guide d'implantation - gestion en santé - hommes et femmes - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - implantation de la stratégie - implantation de la stratégie d'accès - implantation de la stratégie d'accès aux services - gestion en santé et services - gains en efficacité obtenus - indicateurs associés - estrie fiche de la ressource - efficacité des économies - efficacité des économies de coûts - efficacité obtenus - engagement social
45,numéro sans frais - désintoxication avec hébergement - évaluation des conducteurs saaq - clientèle jeunes et adultes - réadaptation en externe et avec hébergement - services de réadaptation en externe et avec hébergement - évaluation des conducteurs - groupes d'âge - gestion en santé - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - guide d'animation - groupes d'âge pour découvrir - guide d'implantation - hommes et femmes - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - implantation de la stratégie - gains en efficacité obtenus - fédération pour l'innovation en matière de santé - gains en efficacité - implantation de la stratégie d'accès aux services - efficacité des économies
46,évaluation des conducteurs saaq dernière - groupes d'âge pour découvrir - gestion en santé - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - groupes d'âge - guide d'animation - matière de santé - guide d'implantation - hommes et femmes - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - implantation de la stratégie - implantation de la stratégie d'accès - implantation de la stratégie d'accès aux services - gains en efficacité obtenus - gains en efficacité - fédération pour l'innovation en matière de santé - fédération pour l'innovation en matière - désintoxication en externe réinsertion sociale - efficacité des économies - efficacité des économies de coûts - efficacité obtenus
47,dépendances aux substances - msss et santé - services sociaux - gouvernement fédéral - réseau de la santé et des services sociaux - réseau de la santé - réseau de la santé et des services - services sociaux msss - ministère de la santé et des services sociaux - ministère de la santé - ministère de la santé et des services - groupes d'âge pour découvrir - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - efficacité des économies - groupes d'âge - efficacité obtenus - gains en efficacité obtenus - guide d'animation - guide d'implantation - désintoxication en externe réinsertion sociale - hommes et femmes - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - gestion en santé
48,québec québec - évaluation des conducteurs saaq dernière - groupes d'âge pour découvrir - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - groupes d'âge - guide d'animation - désintoxication en externe réinsertion - guide d'implantation - hommes et femmes - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - implantation de la stratégie - implantation de la stratégie d'accès - implantation de la stratégie d'accès aux services - gestion en santé - gains en efficacité obtenus - gains en efficacité - fédération pour l'innovation en matière de santé - efficacité des économies - efficacité des économies de coûts - efficacité obtenus - engagement social
49,évaluation des conducteurs saaq dernière - groupes d'âge pour découvrir - gestion en santé - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - groupes d'âge - guide d'animation - matière de santé - guide d'implantation - hommes et femmes - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - implantation de la stratégie - implantation de la stratégie d'accès - implantation de la stratégie d'accès aux services - gains en efficacité obtenus - gains en efficacité - fédération pour l'innovation en matière de santé - fédération pour l'innovation en matière - désintoxication en externe réinsertion sociale - efficacité des économies - efficacité des économies de coûts - efficacité obtenus
50,évaluation des conducteurs saaq dernière - groupes d'âge pour découvrir - gestion en santé - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - groupes d'âge - guide d'animation - matière de santé - guide d'implantation - hommes et femmes - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - implantation de la stratégie - implantation de la stratégie d'accès - implantation de la stratégie d'accès aux services - gains en efficacité obtenus - gains en efficacité - fédération pour l'innovation en matière de santé - fédération pour l'innovation en matière - désintoxication en externe réinsertion sociale - efficacité des économies - efficacité des économies de coûts - efficacité obtenus
51,évaluation des conducteurs saaq dernière - groupes d'âge pour découvrir - gestion en santé - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - groupes d'âge - guide d'animation - matière de santé - guide d'implantation - hommes et femmes - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - implantation de la stratégie - implantation de la stratégie d'accès - implantation de la stratégie d'accès aux services - gains en efficacité obtenus - gains en efficacité - fédération pour l'innovation en matière de santé - fédération pour l'innovation en matière - désintoxication en externe réinsertion sociale - efficacité des économies - efficacité des économies de coûts - efficacité obtenus
52,évaluation des conducteurs saaq dernière - groupes d'âge pour découvrir - gestion en santé - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - groupes d'âge - guide d'animation - matière de santé - guide d'implantation - hommes et femmes - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - implantation de la stratégie - implantation de la stratégie d'accès - implantation de la stratégie d'accès aux services - gains en efficacité obtenus - gains en efficacité - fédération pour l'innovation en matière de santé - fédération pour l'innovation en matière - désintoxication en externe réinsertion sociale - efficacité des économies - efficacité des économies de coûts - efficacité obtenus
53,évaluation des conducteurs saaq dernière - groupes d'âge pour découvrir - gestion en santé - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - groupes d'âge - guide d'animation - matière de santé - guide d'implantation - hommes et femmes - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - implantation de la stratégie - implantation de la stratégie d'accès - implantation de la stratégie d'accès aux services - gains en efficacité obtenus - gains en efficacité - fédération pour l'innovation en matière de santé - fédération pour l'innovation en matière - désintoxication en externe réinsertion sociale - efficacité des économies - efficacité des économies de coûts - efficacité obtenus
54,évaluation des conducteurs saaq dernière - groupes d'âge pour découvrir - gestion en santé - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - groupes d'âge - guide d'animation - matière de santé - guide d'implantation - hommes et femmes - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - implantation de la stratégie - implantation de la stratégie d'accès - implantation de la stratégie d'accès aux services - gains en efficacité obtenus - gains en efficacité - fédération pour l'innovation en matière de santé - fédération pour l'innovation en matière - désintoxication en externe réinsertion sociale - efficacité des économies - efficacité des économies de coûts - efficacité obtenus
55,évaluation des conducteurs saaq dernière - groupes d'âge pour découvrir - gestion en santé - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - groupes d'âge - guide d'animation - matière de santé - guide d'implantation - hommes et femmes - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - implantation de la stratégie - implantation de la stratégie d'accès - implantation de la stratégie d'accès aux services - gains en efficacité obtenus - gains en efficacité - fédération pour l'innovation en matière de santé - fédération pour l'innovation en matière - désintoxication en externe réinsertion sociale - efficacité des économies - efficacité des économies de coûts - efficacité obtenus
56,communauté thérapeutique - cognitivo comportementale - thérapie individuelle - thérapie individuelle ou de groupe - implantation de l'offre de service de détection - implantation de l'offre de service - gestion en santé - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - implantation de la stratégie d'accès - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - implantation de la stratégie - gains en efficacité obtenus - groupes d'âge pour découvrir - guide d'animation - guide d'implantation - hommes et femmes - humaniste dernière - hébergement en dépendance - groupes d'âge - évaluation des conducteurs saaq dernière - imputabilité egi - estrie fiche de la ressource - efficacité des économies - efficacité des économies de coûts - efficacité obtenus
57,évaluation des conducteurs saaq dernière - groupes d'âge pour découvrir - gestion en santé - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - groupes d'âge - guide d'animation - matière de santé - guide d'implantation - hommes et femmes - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - implantation de la stratégie - implantation de la stratégie d'accès - implantation de la stratégie d'accès aux services - gains en efficacité obtenus - gains en efficacité - fédération pour l'innovation en matière de santé - fédération pour l'innovation en matière - désintoxication en externe réinsertion sociale - efficacité des économies - efficacité des économies de coûts - efficacité obtenus
58,services offerts - évaluation des conducteurs saaq - évaluation des conducteurs saaq dernière - saaq dernière - évaluation des conducteurs - clientèle jeunes et adultes - ressource publique services de réadaptation - ressource publique - ressource publique services - traitements de substitution - fiche de la ressource - services sociaux - réinsertion sociale - répertoire des ressources en dépendances - jeunes et semaine de prévention des dépendances - gestion en santé et services sociaux - jeux de hasard et d'argent - fédération pour l'innovation - fédération pour l'innovation en matière - fédération pour l'innovation en matière de santé - gains en efficacité - gains en efficacité obtenus - gestion en santé - gestion en santé et services - gestion le répertoire - jours approche - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral
59,évaluation des conducteurs saaq dernière - groupes d'âge pour découvrir - gestion en santé - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - groupes d'âge - guide d'animation - matière de santé - guide d'implantation - hommes et femmes - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - implantation de la stratégie - implantation de la stratégie d'accès - implantation de la stratégie d'accès aux services - gains en efficacité obtenus - gains en efficacité - fédération pour l'innovation en matière de santé - fédération pour l'innovation en matière - désintoxication en externe réinsertion sociale - efficacité des économies - efficacité des économies de coûts - efficacité obtenus
60,traitement des dépendances - évaluation des conducteurs saaq dernière - gains en efficacité - gestion en santé - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - groupes d'âge - groupes d'âge pour découvrir - guide d'animation - guide d'implantation - hommes et femmes - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - implantation de la stratégie - implantation de la stratégie d'accès - implantation de la stratégie d'accès aux services - gains en efficacité obtenus - fédération pour l'innovation en matière de santé - indicateurs associés - fédération pour l'innovation en matière - désintoxication en externe réinsertion sociale - efficacité des économies - efficacité des économies de coûts
61,évaluation des conducteurs saaq dernière - groupes d'âge pour découvrir - gestion en santé - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - groupes d'âge - guide d'animation - matière de santé - guide d'implantation - hommes et femmes - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - implantation de la stratégie - implantation de la stratégie d'accès - implantation de la stratégie d'accès aux services - gains en efficacité obtenus - gains en efficacité - fédération pour l'innovation en matière de santé - fédération pour l'innovation en matière - désintoxication en externe réinsertion sociale - efficacité des économies - efficacité des économies de coûts - efficacité obtenus
62,évaluation des conducteurs saaq dernière - groupes d'âge pour découvrir - gestion en santé - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - groupes d'âge - guide d'animation - matière de santé - guide d'implantation - hommes et femmes - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - implantation de la stratégie - implantation de la stratégie d'accès - implantation de la stratégie d'accès aux services - gains en efficacité obtenus - gains en efficacité - fédération pour l'innovation en matière de santé - fédération pour l'innovation en matière - désintoxication en externe réinsertion sociale - efficacité des économies - efficacité des économies de coûts - efficacité obtenus
63,réadaptation en externe - services de réadaptation en externe - services de réadaptation - réadaptation en externe et avec hébergement - services de réadaptation en externe et avec hébergement - ressource publique services de réadaptation - ressource publique services - ressource publique - traitements de substitution - réinsertion sociale - clientèle jeunes - évaluation des conducteurs - fiche de la ressource - aide et soutien - répertoire des ressources en dépendances - centre de réadaptation - clientèle jeunes et adultes - désintoxication avec hébergement - services offerts - évaluation des conducteurs saaq - centre de réadaptation en dépendance - réadaptation en dépendance - numéro sans frais - gestion utilisés par le ministère de la santé - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - estrie fiche
64,évaluation des conducteurs saaq dernière - groupes d'âge pour découvrir - gestion en santé - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - groupes d'âge - guide d'animation - matière de santé - guide d'implantation - hommes et femmes - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - implantation de la stratégie - implantation de la stratégie d'accès - implantation de la stratégie d'accès aux services - gains en efficacité obtenus - gains en efficacité - fédération pour l'innovation en matière de santé - fédération pour l'innovation en matière - désintoxication en externe réinsertion sociale - efficacité des économies - efficacité des économies de coûts - efficacité obtenus
65,évaluation des conducteurs saaq dernière - groupes d'âge pour découvrir - gestion en santé - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - groupes d'âge - guide d'animation - matière de santé - guide d'implantation - hommes et femmes - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - implantation de la stratégie - implantation de la stratégie d'accès - implantation de la stratégie d'accès aux services - gains en efficacité obtenus - gains en efficacité - fédération pour l'innovation en matière de santé - fédération pour l'innovation en matière - désintoxication en externe réinsertion sociale - efficacité des économies - efficacité des économies de coûts - efficacité obtenus
66,évaluation des conducteurs saaq dernière - groupes d'âge pour découvrir - gestion en santé - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - groupes d'âge - guide d'animation - matière de santé - guide d'implantation - hommes et femmes - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - implantation de la stratégie - implantation de la stratégie d'accès - implantation de la stratégie d'accès aux services - gains en efficacité obtenus - gains en efficacité - fédération pour l'innovation en matière de santé - fédération pour l'innovation en matière - désintoxication en externe réinsertion sociale - efficacité des économies - efficacité des économies de coûts - efficacité obtenus
67,évaluation des conducteurs saaq dernière - groupes d'âge pour découvrir - gestion en santé - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - groupes d'âge - guide d'animation - matière de santé - guide d'implantation - hommes et femmes - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - implantation de la stratégie - implantation de la stratégie d'accès - implantation de la stratégie d'accès aux services - gains en efficacité obtenus - gains en efficacité - fédération pour l'innovation en matière de santé - fédération pour l'innovation en matière - désintoxication en externe réinsertion sociale - efficacité des économies - efficacité des économies de coûts - efficacité obtenus
68,évaluation des conducteurs saaq dernière - groupes d'âge pour découvrir - gestion en santé - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - groupes d'âge - guide d'animation - matière de santé - guide d'implantation - hommes et femmes - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - implantation de la stratégie - implantation de la stratégie d'accès - implantation de la stratégie d'accès aux services - gains en efficacité obtenus - gains en efficacité - fédération pour l'innovation en matière de santé - fédération pour l'innovation en matière - désintoxication en externe réinsertion sociale - efficacité des économies - efficacité des économies de coûts - efficacité obtenus
69,évaluation des conducteurs saaq dernière - groupes d'âge pour découvrir - gestion en santé - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - groupes d'âge - guide d'animation - matière de santé - guide d'implantation - hommes et femmes - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - implantation de la stratégie - implantation de la stratégie d'accès - implantation de la stratégie d'accès aux services - gains en efficacité obtenus - gains en efficacité - fédération pour l'innovation en matière de santé - fédération pour l'innovation en matière - désintoxication en externe réinsertion sociale - efficacité des économies - efficacité des économies de coûts - efficacité obtenus
70,évaluation des conducteurs saaq dernière - groupes d'âge pour découvrir - gestion en santé - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - groupes d'âge - guide d'animation - matière de santé - guide d'implantation - hommes et femmes - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - implantation de la stratégie - implantation de la stratégie d'accès - implantation de la stratégie d'accès aux services - gains en efficacité obtenus - gains en efficacité - fédération pour l'innovation en matière de santé - fédération pour l'innovation en matière - désintoxication en externe réinsertion sociale - efficacité des économies - efficacité des économies de coûts - efficacité obtenus
71,évaluation des conducteurs saaq dernière - groupes d'âge pour découvrir - gestion en santé - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - groupes d'âge - guide d'animation - matière de santé - guide d'implantation - hommes et femmes - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - implantation de la stratégie - implantation de la stratégie d'accès - implantation de la stratégie d'accès aux services - gains en efficacité obtenus - gains en efficacité - fédération pour l'innovation en matière de santé - fédération pour l'innovation en matière - désintoxication en externe réinsertion sociale - efficacité des économies - efficacité des économies de coûts - efficacité obtenus
72,évaluation des conducteurs saaq dernière - groupes d'âge pour découvrir - gestion en santé - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - groupes d'âge - guide d'animation - matière de santé - guide d'implantation - hommes et femmes - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - implantation de la stratégie - implantation de la stratégie d'accès - implantation de la stratégie d'accès aux services - gains en efficacité obtenus - gains en efficacité - fédération pour l'innovation en matière de santé - fédération pour l'innovation en matière - désintoxication en externe réinsertion sociale - efficacité des économies - efficacité des économies de coûts - efficacité obtenus
73,évaluation des conducteurs saaq dernière - groupes d'âge pour découvrir - gestion en santé - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - groupes d'âge - guide d'animation - matière de santé - guide d'implantation - hommes et femmes - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - implantation de la stratégie - implantation de la stratégie d'accès - implantation de la stratégie d'accès aux services - gains en efficacité obtenus - gains en efficacité - fédération pour l'innovation en matière de santé - fédération pour l'innovation en matière - désintoxication en externe réinsertion sociale - efficacité des économies - efficacité des économies de coûts - efficacité obtenus
74,évaluation des conducteurs saaq dernière - groupes d'âge pour découvrir - gestion en santé - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - groupes d'âge - guide d'animation - matière de santé - guide d'implantation - hommes et femmes - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - implantation de la stratégie - implantation de la stratégie d'accès - implantation de la stratégie d'accès aux services - gains en efficacité obtenus - gains en efficacité - fédération pour l'innovation en matière de santé - fédération pour l'innovation en matière - désintoxication en externe réinsertion sociale - efficacité des économies - efficacité des économies de coûts - efficacité obtenus
75,évaluation des conducteurs saaq dernière - groupes d'âge pour découvrir - gestion en santé - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - groupes d'âge - guide d'animation - matière de santé - guide d'implantation - hommes et femmes - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - implantation de la stratégie - implantation de la stratégie d'accès - implantation de la stratégie d'accès aux services - gains en efficacité obtenus - gains en efficacité - fédération pour l'innovation en matière de santé - fédération pour l'innovation en matière - désintoxication en externe réinsertion sociale - efficacité des économies - efficacité des économies de coûts - efficacité obtenus
76,évaluation des conducteurs saaq dernière - groupes d'âge pour découvrir - gestion en santé - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - groupes d'âge - guide d'animation - matière de santé - guide d'implantation - hommes et femmes - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - implantation de la stratégie - implantation de la stratégie d'accès - implantation de la stratégie d'accès aux services - gains en efficacité obtenus - gains en efficacité - fédération pour l'innovation en matière de santé - fédération pour l'innovation en matière - désintoxication en externe réinsertion sociale - efficacité des économies - efficacité des économies de coûts - efficacité obtenus
77,évaluation des conducteurs saaq dernière - groupes d'âge pour découvrir - gestion en santé - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - groupes d'âge - guide d'animation - matière de santé - guide d'implantation - hommes et femmes - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - implantation de la stratégie - implantation de la stratégie d'accès - implantation de la stratégie d'accès aux services - gains en efficacité obtenus - gains en efficacité - fédération pour l'innovation en matière de santé - fédération pour l'innovation en matière - désintoxication en externe réinsertion sociale - efficacité des économies - efficacité des économies de coûts - efficacité obtenus
78,évaluation des conducteurs saaq dernière - groupes d'âge pour découvrir - gestion en santé - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - groupes d'âge - guide d'animation - matière de santé - guide d'implantation - hommes et femmes - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - implantation de la stratégie - implantation de la stratégie d'accès - implantation de la stratégie d'accès aux services - gains en efficacité obtenus - gains en efficacité - fédération pour l'innovation en matière de santé - fédération pour l'innovation en matière - désintoxication en externe réinsertion sociale - efficacité des économies - efficacité des économies de coûts - efficacité obtenus
79,évaluation des conducteurs saaq dernière - groupes d'âge pour découvrir - gestion en santé - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - groupes d'âge - guide d'animation - matière de santé - guide d'implantation - hommes et femmes - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - implantation de la stratégie - implantation de la stratégie d'accès - implantation de la stratégie d'accès aux services - gains en efficacité obtenus - gains en efficacité - fédération pour l'innovation en matière de santé - fédération pour l'innovation en matière - désintoxication en externe réinsertion sociale - efficacité des économies - efficacité des économies de coûts - efficacité obtenus
80,évaluation des conducteurs saaq dernière - groupes d'âge pour découvrir - gestion en santé - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - groupes d'âge - guide d'animation - matière de santé - guide d'implantation - hommes et femmes - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - implantation de la stratégie - implantation de la stratégie d'accès - implantation de la stratégie d'accès aux services - gains en efficacité obtenus - gains en efficacité - fédération pour l'innovation en matière de santé - fédération pour l'innovation en matière - désintoxication en externe réinsertion sociale - efficacité des économies - efficacité des économies de coûts - efficacité obtenus
81,évaluation des conducteurs saaq dernière - groupes d'âge pour découvrir - gestion en santé - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - groupes d'âge - guide d'animation - matière de santé - guide d'implantation - hommes et femmes - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - implantation de la stratégie - implantation de la stratégie d'accès - implantation de la stratégie d'accès aux services - gains en efficacité obtenus - gains en efficacité - fédération pour l'innovation en matière de santé - fédération pour l'innovation en matière - désintoxication en externe réinsertion sociale - efficacité des économies - efficacité des économies de coûts - efficacité obtenus
82,évaluation des conducteurs saaq dernière - groupes d'âge pour découvrir - gestion en santé - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - groupes d'âge - guide d'animation - matière de santé - guide d'implantation - hommes et femmes - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - implantation de la stratégie - implantation de la stratégie d'accès - implantation de la stratégie d'accès aux services - gains en efficacité obtenus - gains en efficacité - fédération pour l'innovation en matière de santé - fédération pour l'innovation en matière - désintoxication en externe réinsertion sociale - efficacité des économies - efficacité des économies de coûts - efficacité obtenus
83,évaluation des conducteurs saaq dernière - groupes d'âge pour découvrir - gestion en santé - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - groupes d'âge - guide d'animation - matière de santé - guide d'implantation - hommes et femmes - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - implantation de la stratégie - implantation de la stratégie d'accès - implantation de la stratégie d'accès aux services - gains en efficacité obtenus - gains en efficacité - fédération pour l'innovation en matière de santé - fédération pour l'innovation en matière - désintoxication en externe réinsertion sociale - efficacité des économies - efficacité des économies de coûts - efficacité obtenus
84,évaluation des conducteurs saaq dernière - groupes d'âge pour découvrir - gestion en santé - gestion en santé et services - gestion en santé et services sociaux - gestion le répertoire - gestion utilisés - gestion utilisés par le ministère - gestion utilisés par le ministère de la santé - gouvernement fédéral - groupes d'âge - guide d'animation - matière de santé - guide d'implantation - hommes et femmes - humaniste dernière - hébergement en dépendance - implantation de l'offre de service - implantation de l'offre de service de détection - implantation de la stratégie - implantation de la stratégie d'accès - implantation de la stratégie d'accès aux services - gains en efficacité obtenus - gains en efficacité - fédération pour l'innovation en matière de santé - fédération pour l'innovation en matière - désintoxication en externe réinsertion sociale - efficacité des économies - efficacité des économies de coûts - efficacité obtenus
