,Corpus,Expression,Structure syntaxique,Fréquence,isMeSHTerm,MeSHID,MesH_prefLabel_fr,MesH_prefLabel_en,isTaxoTerm
2695,doctissimo,problème de concentration,NOM PRP NOM,5,False,,,,False
2696,doctissimo,souviens-toi,VER:pres PRO:PER,3,False,,,,False
2697,doctissimo,clin d'oeil,NOM PRP NOM,12,False,,,,False
2699,doctissimo,rentre à l'hôpital,VER:pres PRP DET:ART NOM,4,False,,,,False
2701,doctissimo,vois des femmes,VER:pres PRP:det NOM,4,False,,,,False
2704,doctissimo,déjà enlevé,ADV VER:pper,3,False,,,,False
2705,doctissimo,chaîne ganglionnaire,NOM ADJ,13,False,,,,False
2707,doctissimo,grande cicatrice,ADJ NOM,4,False,,,,False
2708,doctissimo,mieux demander,ADV VER:infi,7,False,,,,False
2709,doctissimo,demander conseil,VER:infi NOM,35,False,,,,False
2711,doctissimo,clin d'œil,NOM PRP NOM,5,False,,,,False
2712,doctissimo,jours auparavant,NOM PRP,5,False,,,,False
2714,doctissimo,bonnes mains,ADJ NOM,13,False,,,,False
2715,doctissimo,sourire magnifique,NOM ADJ,3,False,,,,False
2716,doctissimo,plaisir de te retrouver,NOM PRP PRO:PER VER:infi,3,False,,,,False
2721,doctissimo,.le médecin,ADJ NOM,10,False,,,,False
2722,doctissimo,ponction de la moelle,NOM PRP DET:ART NOM,5,False,,,,False
2723,doctissimo,ponction de la moelle osseuse,NOM PRP DET:ART NOM ADJ,4,False,,,,True
2724,doctissimo,moelle osseuse,NOM ADJ,25,True,D001853,Moelle osseuse,Bone Marrow,True
2725,doctissimo,allé dans un centre,VER:pper PRP DET:ART NOM,3,False,,,,False
2726,doctissimo,aout prochain,NOM ADJ,3,False,,,,False
2727,doctissimo,mème chose,ADJ NOM,3,False,,,,False
2731,doctissimo,taux de plaquettes,NOM PRP NOM,16,True,D010976,Numération des plaquettes,Platelet Count,False
2732,doctissimo,suivi à l'hopital,VER:pper PRP DET:ART NOM,3,False,,,,False
2733,doctissimo,hopital trousseau,NOM NOM,5,False,,,,False
2735,doctissimo,dernière prise,ADJ NOM,31,False,,,,False
2736,doctissimo,dernière prise de sang,ADJ NOM PRP NOM,27,False,,,,False
2738,doctissimo,prochaine prise,ADJ NOM,5,False,,,,False
2739,doctissimo,prochaine prise de sang,ADJ NOM PRP NOM,3,False,,,,False
2741,doctissimo,mal de sang,ADV PRP NOM,12,False,,,,False
2743,doctissimo,vraiment du mal,ADV PRP:det NOM,34,False,,,,False
2744,doctissimo,médecins voulaient,NOM VER:impf,3,False,,,,False
2745,doctissimo,faire une img,VER:infi DET:ART NOM,4,False,,,,False
2747,doctissimo,garçon ou fille,NOM KON NOM,8,False,,,,False
2748,doctissimo,gros décollement,ADJ NOM,4,False,,,,False
2750,doctissimo,sang coule,NOM VER:pres,4,False,,,,False
2751,doctissimo,urgences maternité,NOM NOM,8,False,,,,False
2752,doctissimo,test du liquide,NOM PRP:det NOM,3,False,,,,False
2753,doctissimo,liquide amniotique,NOM ADJ,33,True,D000653,Liquide amniotique,Amniotic Fluid,True
2756,doctissimo,col est long,NOM VER:pres ADJ,4,False,,,,False
2757,doctissimo,écho de contrôle,NOM PRP NOM,58,False,,,,False
2758,doctissimo,super inquiète,ADJ ADJ,4,False,,,,False
2759,doctissimo,bébé aille,NOM VER:pres,9,False,,,,False
2760,doctissimo,bout du monde,NOM PRP:det NOM,11,False,,,,False
2763,doctissimo,d\'une grande,NOM ADJ,15,False,,,,False
2764,doctissimo,aller jusqu\'au,VER:infi NOM,7,False,,,,False
2765,doctissimo,perdu du sang,VER:pper PRP:det NOM,7,False,,,,False
2767,doctissimo,commencé à ressentir,VER:pper PRP VER:infi,16,False,,,,False
2768,doctissimo,douleur musculaire,NOM ADJ,16,True,D063806,Myalgie,Myalgia,True
2769,doctissimo,position assise,NOM ADJ,65,True,D000077708,Position assise,Sitting Position,False
2770,doctissimo,fil des jours,NOM PRP:det NOM,19,False,,,,False
2771,doctissimo,sensation de pincement,NOM PRP NOM,3,False,,,,False
2772,doctissimo,fil de la journée,NOM PRP DET:ART NOM,8,False,,,,False
2773,doctissimo,sorte de brûlure,NOM PRP NOM,3,False,,,,False
2775,doctissimo,besoin de respirer,NOM PRP VER:infi,4,False,,,,False
2776,doctissimo,fourmillements dans les mains,NOM PRP DET:ART NOM,4,False,,,,False
2777,doctissimo,douleurs au bras,NOM PRP:det NOM,5,False,,,,False
2778,doctissimo,matin jusqu',NOM PRP,14,False,,,,False
2779,doctissimo,matin jusqu'au soir,NOM PRP PRP:det NOM,7,False,,,,False
2780,doctissimo,fatigue extrême,NOM ADJ,22,False,,,,False
2781,doctissimo,allé hier,VER:pper ADV,5,False,,,,False
2782,doctissimo,médecin urgentiste,NOM ADJ,7,False,,,,True
2783,doctissimo,long de la journée,NOM PRP DET:ART NOM,24,False,,,,False
2784,doctissimo,pistes de réflexion,NOM PRP NOM,5,False,,,,False
2785,doctissimo,donner des troubles,VER:infi PRP:det NOM,3,False,,,,False
2786,doctissimo,moment magique,NOM ADJ,4,False,,,,False
2787,doctissimo,coup de pompe,NOM PRP NOM,7,False,,,,False
2788,doctissimo,faire le yoyo,VER:infi DET:ART NOM,4,False,,,,False
2789,doctissimo,petit mari,ADJ NOM,5,False,,,,False
2792,doctissimo,petit coeur,ADJ NOM,59,False,,,,False
2793,doctissimo,petite crevette,ADJ NOM,24,False,,,,False
2794,doctissimo,grosse pensée,ADJ NOM,17,False,,,,False
2796,doctissimo,bisous les filles,NOM DET:ART NOM,59,False,,,,False
2797,doctissimo,fin de l'année,NOM PRP DET:ART NOM,25,False,,,,False
2799,doctissimo,mort de rire,VER:pper PRP VER:infi,8,False,,,,False
2800,doctissimo,envoyer un e-mail,VER:infi DET:ART NOM,3,False,,,,False
2802,doctissimo,bout du tunnel,NOM PRP:det NOM,27,False,,,,False
2803,doctissimo,filles courage,NOM NOM,3,False,,,,False
2804,doctissimo,bonne route,ADJ NOM,15,False,,,,False
2805,doctissimo,souhaite en tout cas,VER:pres PRP PRO:IND NOM,13,False,,,,False
2806,doctissimo,envie de profiter,NOM PRP VER:infi,9,False,,,,False
2807,doctissimo,profiter un maximum,VER:infi DET:ART NOM,9,False,,,,False
2809,doctissimo,vraie pipelette,ADJ NOM,4,False,,,,False
2810,doctissimo,maman solo,NOM NOM,10,False,,,,False
2811,doctissimo,d\'une petite,ADJ ADJ,36,False,,,,False
2812,doctissimo,mois et demi,NOM KON ADJ,309,False,,,,False
2813,doctissimo,liste d\'attente,NOM ADJ,7,False,,,,False
2815,doctissimo,test de la sueur,NOM PRP DET:ART NOM,21,False,,,,False
2817,doctissimo,faux positifs,NOM ADJ,32,True,D005189,Faux positifs,False Positive Reactions,False
2820,doctissimo,age adulte,NOM ADJ,5,False,,,,False
2821,doctissimo,.mon médecin,ADJ NOM,15,False,,,,False
2822,doctissimo,test à la sueur,NOM PRP DET:ART NOM,3,False,,,,False
2823,doctissimo,mis sous antibiotique,VER:pper PRP ADJ,4,False,,,,False
2825,doctissimo,rit au nez,VER:pres PRP:det NOM,3,False,,,,False
2826,doctissimo,années de traitement,NOM PRP NOM,3,False,,,,False
2827,doctissimo,fameux test,ADJ NOM,7,False,,,,False
2829,doctissimo,médecin veut,NOM VER:pres,8,False,,,,False
2830,doctissimo,espérance de vie,NOM PRP NOM,35,True,D008017,Espérance de vie,Life Expectancy,True
2831,doctissimo,hygiène de vie,NOM PRP NOM,90,False,,,,False
2832,doctissimo,test de depistage,NOM PRP NOM,3,False,,,,False
2833,doctissimo,test obligatoire,NOM ADJ,5,False,,,,False
2834,doctissimo,d\'un séjour,ADJ NOM,4,False,,,,False
2835,doctissimo,tests à la sueur,NOM PRP DET:ART NOM,3,False,,,,False
2836,doctissimo,révélés négatifs,VER:pper ADJ,3,False,,,,False
2837,doctissimo,moyen fiable,NOM ADJ,4,False,,,,False
2838,doctissimo,d\'autres c\'est,ADJ NOM,3,False,,,,False
2839,doctissimo,système digestif,NOM ADJ,36,True,D004064,Système digestif,Digestive System,True
2840,doctissimo,professionnels de santé,NOM PRP NOM,35,False,,,,False
2841,doctissimo,fille née,NOM VER:pper,34,False,,,,False
2842,doctissimo,atteinte de mucoviscidose,VER:pper PRP NOM,7,False,,,,False
2845,doctissimo,nez pris,NOM VER:pper,5,False,,,,False
2846,doctissimo,quintes de toux,NOM PRP NOM,18,False,,,,False
2847,doctissimo,effort physique,NOM ADJ,19,True,D005082,Effort physique,Physical Exertion,True
2848,doctissimo,cure thermale,VER:pres ADJ,26,False,,,,False
2849,doctissimo,radios des poumons,NOM PRP:det NOM,6,False,,,,False
2850,doctissimo,hyper simple,NOM ADJ,4,False,,,,False
2851,doctissimo,simple et rapide,ADJ KON ADJ,4,False,,,,False
2853,doctissimo,tas d'examen,NOM PRP NOM,5,False,,,,False
2854,doctissimo,faire des tests,VER:infi PRP:det NOM,36,False,,,,False
2855,doctissimo,vraiment peur,ADV NOM,73,False,,,,False
2856,doctissimo,âge adulte,NOM ADJ,21,False,,,,True
2858,doctissimo,infections respiratoires,NOM ADJ,3,True,D012141,Infections de l'appareil respiratoire,Respiratory Tract Infections,False
2860,doctissimo,espoir de trouver,NOM PRP VER:infi,7,False,,,,False
2861,doctissimo,trouver une réponse,VER:infi DET:ART NOM,4,False,,,,False
2862,doctissimo,souffre du syndrome,VER:pres PRP:det NOM,4,False,,,,False
2863,doctissimo,syndrome de raynaud,NOM PRP NOM,37,True,D011928,Maladie de Raynaud,Raynaud Disease,True
2865,doctissimo,niveau des plis,NOM PRP:det NOM,4,False,,,,False
2867,doctissimo,doigts blancs,NOM ADJ,5,False,,,,False
2868,doctissimo,milieu de la nuit,NOM PRP DET:ART NOM,30,False,,,,False
2869,doctissimo,trouve en pharmacie,VER:pres PRP NOM,19,False,,,,False
2870,doctissimo,maladie de raynaud,NOM PRP ADJ,18,True,D011928,Maladie de Raynaud,Raynaud Disease,True
2871,doctissimo,essayer de lire,VER:infi PRP VER:infi,3,False,,,,False
2872,doctissimo,journée et courage,NOM KON NOM,3,False,,,,False
2876,doctissimo,bonne journee,ADJ NOM,41,False,,,,False
2878,doctissimo,mains qui deviennent,NOM PRO:REL VER:pres,4,False,,,,False
2879,doctissimo,.ma fille,NAM NOM,7,False,,,,False
2880,doctissimo,fille est atteinte,NOM VER:pres VER:pper,9,False,,,,False
2881,doctissimo,atteinte d'une maladie,VER:pper PRP DET:ART NOM,3,False,,,,False
2882,doctissimo,maladie auto,NOM NOM,34,False,,,,False
2883,doctissimo,maladie auto immune,NOM NOM ADJ,29,False,,,,False
2884,doctissimo,auto immune,NOM ADJ,49,False,,,,False
2886,doctissimo,vacances de noël,NOM PRP NOM,10,False,,,,False
2888,doctissimo,doigts de pieds,NOM PRP NOM,18,False,,,,False
2889,doctissimo,gonflés et douloureux,ADJ KON ADJ,4,False,,,,False
2890,doctissimo,cas de grosse,NOM PRP ADJ,8,False,,,,False
2891,doctissimo,cas de grosse crise,NOM PRP ADJ NOM,5,False,,,,False
2892,doctissimo,grosse crise,ADJ NOM,72,False,,,,False
2895,doctissimo,circulation sanguine,NOM ADJ,52,True,D001775,Circulation sanguine,Blood Circulation,True
2897,doctissimo,doigts deviennent,NOM VER:pres,5,False,,,,False
2898,doctissimo,doigts des mains,NOM PRP:det NOM,3,False,,,,False
2899,doctissimo,bleu gris,NOM ADJ,4,False,,,,False
2900,doctissimo,coloration rouge,NOM ADJ,4,False,,,,False
2901,doctissimo,phénomène de raynaud,NOM PRP NOM,3,True,D011928,Maladie de Raynaud,Raynaud Disease,False
2902,doctissimo,population générale,NOM ADJ,6,False,,,,False
2904,doctissimo,jamais simple,ADV ADJ,4,False,,,,False
2905,doctissimo,mit du temps,VER:simp PRP:det NOM,4,False,,,,False
2906,doctissimo,sais plus facile,VER:pres ADV ADJ,5,False,,,,False
2907,doctissimo,prends soin,VER:pres NOM,61,False,,,,False
2908,doctissimo,souffre d'une maladie,VER:pres PRP DET:ART NOM,3,False,,,,False
2910,doctissimo,doigts de la main,NOM PRP DET:ART NOM,8,False,,,,False
2913,doctissimo,essayer de garder,VER:infi PRP VER:infi,8,False,,,,False
2918,doctissimo,blood sugar,ADJ NOM,8,False,,,,False
2923,doctissimo,corps réagit,NOM VER:pres,13,False,,,,False
2924,doctissimo,équilibre alimentaire,NOM ADJ,3,False,,,,False
2927,doctissimo,essayer de faire,VER:infi PRP VER:infi,72,False,,,,False
2932,doctissimo,battements de coeur,NOM PRP NOM,7,False,,,,False
2934,doctissimo,ans d'attente,NOM PRP NOM,16,False,,,,False
2935,doctissimo,longue attente,ADJ NOM,14,False,,,,False
2939,doctissimo,chance d\'être,NOM VER:pres,15,False,,,,False
2941,doctissimo,c\'est facile,NOM ADJ,17,False,,,,False
2942,doctissimo,niveau symptômes,NOM NOM,22,False,,,,False
2943,doctissimo,mal à la poitrine,NOM PRP DET:ART NOM,13,False,,,,True
2945,doctissimo,etait difficile,NOM ADJ,3,False,,,,False
2947,doctissimo,source de stress,NOM PRP NOM,5,False,,,,False
2948,doctissimo,super cadeau,ADJ NOM,11,False,,,,False
2949,doctissimo,cadeau d'anniversaire,NOM PRP NOM,7,False,,,,False
2950,doctissimo,dois avoir hate,VER:pres VER:infi NOM,6,False,,,,False
2951,doctissimo,dernière règles,ADJ NOM,13,False,,,,False
2954,doctissimo,commencé à faire,VER:pper PRP VER:infi,18,False,,,,False
2955,doctissimo,faire connaissance,VER:infi NOM,9,False,,,,False
2963,doctissimo,perdu du poid,VER:pper PRP:det NOM,3,False,,,,False
2964,doctissimo,seins sensibles,NOM ADJ,9,False,,,,False
2965,doctissimo,tiraillements dans le bas ventre,NOM PRP DET:ART ADJ NOM,5,False,,,,False
2966,doctissimo,ventre de temps,NOM PRP NOM,3,False,,,,False
2968,doctissimo,voyage de noce,NOM PRP NOM,4,False,,,,False
2970,doctissimo,petite graine,ADJ NOM,15,False,,,,False
2971,doctissimo,mois d'écart,NOM PRP NOM,22,False,,,,False
2972,doctissimo,prise de poids,NOM PRP NOM,161,True,D015430,Prise de poids,Weight Gain,True
2974,doctissimo,faisais peur,VER:impf NOM,3,False,,,,False
2976,doctissimo,chose demain,NOM ADV,3,False,,,,False
2977,doctissimo,demain matin,ADV NOM,186,False,,,,False
2978,doctissimo,case départ,NOM VER:pres,17,False,,,,False
2979,doctissimo,sortant de la maternité,VER:ppre PRP DET:ART NOM,5,False,,,,False
2980,doctissimo,poids idéal,NOM ADJ,3,True,D056865,Poids idéal,Ideal Body Weight,False
2981,doctissimo,taches rouges,NOM ADJ,10,False,,,,False
2982,doctissimo,ressens aucune douleur,VER:pres PRO:IND NOM,7,False,,,,False
3025,doctissimo,petit cousin,ADJ NOM,5,False,,,,False
3026,doctissimo,bonnes chaussures,ADJ NOM,4,False,,,,False
3028,doctissimo,jme demande,NOM VER:pres,3,False,,,,False
3029,doctissimo,pieds qui puent,NOM PRO:REL VER:pres,3,False,,,,False
3032,doctissimo,petites annonces,ADJ NOM,6,False,,,,False
3033,doctissimo,scolaire et professionnel,ADJ KON ADJ,3,False,,,,False
3034,doctissimo,injections de botox,NOM PRP NOM,8,False,,,,False
3035,doctissimo,peau des fesses,NOM PRP:det NOM,8,False,,,,False
3036,doctissimo,impression qu',NOM PRO:REL,196,False,,,,False
3037,doctissimo,entretien d'embauche,NOM PRP NOM,4,False,,,,False
3038,doctissimo,mail ou msn,NOM KON NOM,3,False,,,,False
3041,doctissimo,odeur persiste,NOM VER:pres,3,False,,,,False
3042,doctissimo,vie sentimentale,NOM ADJ,9,False,,,,False
3043,doctissimo,sauver la vie,VER:infi DET:ART NOM,11,False,,,,False
3044,doctissimo,porter des chaussettes,VER:infi PRP:det NOM,3,False,,,,False
3046,doctissimo,gel douche,NOM VER:pres,33,False,,,,False
3048,doctissimo,traitement quotidien,NOM ADJ,5,False,,,,False
3050,doctissimo,super efficace,ADJ ADJ,25,False,,,,False
3052,doctissimo,chance de rencontrer,NOM PRP VER:infi,3,False,,,,False
3055,doctissimo,bisous tendres,NOM ADJ,3,False,,,,False
3057,doctissimo,longs mois,ADJ NOM,17,False,,,,False
3058,doctissimo,longues semaines,ADJ NOM,9,False,,,,False
3060,doctissimo,pleine forme,ADJ NOM,120,False,,,,False
3062,doctissimo,excuse-moi,VER:pres PRO:PER,14,False,,,,False
3063,doctissimo,problème venait,NOM VER:impf,11,False,,,,False
3065,doctissimo,mois au lieu,NOM PRP:det NOM,4,False,,,,False
3068,doctissimo,longues heures,ADJ NOM,7,False,,,,False
3070,doctissimo,viens du québec,VER:pres PRP:det NOM,3,False,,,,False
3071,doctissimo,mauvaise alimentation,ADJ NOM,4,False,,,,False
3072,doctissimo,nerf d'arnold,NOM PRP NOM,6,False,,,,False
3074,doctissimo,exercices de musculation,NOM PRP NOM,5,False,,,,False
3076,doctissimo,médecin pratiquant,NOM VER:ppre,3,False,,,,False
3080,doctissimo,milieu médical,NOM ADJ,18,False,,,,False
3082,doctissimo,demander à faire,VER:infi PRP VER:infi,5,False,,,,False
3083,doctissimo,faire une radio,VER:infi DET:ART NOM,26,False,,,,False
3084,doctissimo,collier cervical,NOM ADJ,4,False,,,,False
3085,doctissimo,bonne amélioration,ADJ NOM,3,False,,,,False
3086,doctissimo,changé de position,VER:pper PRP NOM,5,False,,,,False
3088,doctissimo,petite histoire,ADJ NOM,40,False,,,,False
3089,doctissimo,allée consultée,VER:pper VER:pper,3,False,,,,False
3090,doctissimo,conseillé d'aller,VER:pper PRP VER:infi,13,False,,,,False
3092,doctissimo,type de problème,NOM PRP NOM,19,False,,,,False
3093,doctissimo,vient du foie,VER:pres PRP:det NOM,3,False,,,,False
3094,doctissimo,prise d'antibiotique,NOM PRP NOM,4,False,,,,False
3097,doctissimo,casse tête,NOM NOM,8,False,,,,False
3100,doctissimo,lupus erythemateux,NOM ADJ,4,False,,,,False
3102,doctissimo,souffrent de maladies,VER:pres PRP NOM,3,False,,,,False
3103,doctissimo,maladies auto,NOM NOM,18,False,,,,False
3104,doctissimo,maladies auto immunes,NOM NOM ADJ,10,True,,,,False
3105,doctissimo,auto immunes,NOM ADJ,15,False,,,,False
3113,doctissimo,thyroidite auto,ADJ NOM,3,False,,,,False
3115,doctissimo,thyroidite d'hashimoto,NOM PRP NOM,3,False,,,,False
3119,doctissimo,sentir la différence,VER:infi DET:ART NOM,3,False,,,,False
3121,doctissimo,jambe gauche,NOM ADJ,62,False,,,,False
3122,doctissimo,longues années,ADJ NOM,24,False,,,,False
3123,doctissimo,fatigue persistante,NOM ADJ,8,False,,,,False
3124,doctissimo,sommeil non réparateur,NOM ADV ADJ,4,False,,,,False
3125,doctissimo,douleurs diffuses,NOM ADJ,11,False,,,,False
3127,doctissimo,raison de faire,NOM PRP VER:infi,15,False,,,,False
3128,doctissimo,petite sieste,ADJ NOM,20,False,,,,False
3131,doctissimo,bonne idée de topic,ADJ NOM PRP NOM,3,False,,,,False
3132,doctissimo,idée de topic,NOM PRP NOM,4,False,,,,False
3133,doctissimo,famille ou amis,NOM KON NOM,3,False,,,,False
3134,doctissimo,peur de passer,NOM PRP VER:infi,13,False,,,,False
3135,doctissimo,.la maladie,VER:simp NOM,3,False,,,,False
3136,doctissimo,doute raison,NOM NOM,5,False,,,,False
3137,doctissimo,continuer de vivre,VER:infi PRP VER:infi,4,False,,,,False
3138,doctissimo,vivre ensemble,VER:infi ADV,9,False,,,,False
3139,doctissimo,trés bonne,NOM ADJ,14,False,,,,False
3140,doctissimo,trés bonne soirée,NOM ADJ NOM,4,False,,,,False
3142,doctissimo,aider mutuellement,VER:infi ADV,6,False,,,,False
3143,doctissimo,donner des conseils,VER:infi PRP:det NOM,50,False,,,,False
3144,doctissimo,examens biologiques,NOM ADJ,3,False,,,,False
3146,doctissimo,long chemin,ADJ NOM,4,False,,,,False
3147,doctissimo,accident de travail,NOM PRP NOM,5,False,,,,True
3148,doctissimo,adresse msn,NOM ADJ,12,False,,,,False
3149,doctissimo,met du temps,VER:pres PRP:det NOM,17,False,,,,False
3154,doctissimo,décharges électriques,NOM ADJ,23,False,,,,False
3155,doctissimo,manque de chance,VER:pres PRP NOM,8,False,,,,False
3156,doctissimo,jamais demandé,ADV VER:pper,14,False,,,,False
3157,doctissimo,centre anti,NOM ADJ,39,False,,,,False
3158,doctissimo,centre anti douleur,NOM ADJ NOM,21,False,,,,False
3159,doctissimo,anti douleur,ADJ NOM,51,False,,,,False
3169,doctissimo,situe au niveau,VER:pres PRP:det NOM,8,False,,,,False
3171,doctissimo,soucis au niveau,NOM PRP:det NOM,12,False,,,,False
3172,doctissimo,niveau des nerfs,NOM PRP:det NOM,5,False,,,,False
3174,doctissimo,mauvais caractère,ADJ NOM,3,False,,,,False
3176,doctissimo,aprés midi,ADJ NOM,17,False,,,,False
3180,doctissimo,temps fera,NOM VER:futu,9,False,,,,False
3182,doctissimo,envie d'acheter,NOM PRP VER:infi,5,False,,,,False
3183,doctissimo,acheter des trucs,VER:infi PRP:det NOM,3,False,,,,False
3184,doctissimo,changé grand,VER:pper ADJ,7,False,,,,False
3185,doctissimo,changé grand chose,VER:pper ADJ NOM,5,False,,,,False
3187,doctissimo,apprendre à vivre,VER:infi PRP VER:infi,32,False,,,,False
3189,doctissimo,jamais acheté,ADV VER:pper,7,False,,,,False
3193,doctissimo,appart actuel,NOM ADJ,3,False,,,,False
3194,doctissimo,résultats reviennent,NOM VER:pres,4,False,,,,False
3195,doctissimo,obligée de répondre,VER:pper PRP VER:infi,3,False,,,,False
3197,doctissimo,mettre des couches,VER:infi PRP:det NOM,3,False,,,,False
3198,doctissimo,arrêter de faire,VER:infi PRP VER:infi,13,False,,,,False
3203,doctissimo,donner le lien,VER:infi DET:ART NOM,8,False,,,,False
3206,doctissimo,couche pour la nuit,NOM PRP DET:ART NOM,3,False,,,,False
3209,doctissimo,déjà au lit,ADV PRP:det NOM,5,False,,,,False
3210,doctissimo,porte des couches,VER:pres PRP:det NOM,7,False,,,,False
3211,doctissimo,joue à wow,NOM PRP NOM,3,False,,,,False
3213,doctissimo,moindre petite,ADJ ADJ,9,False,,,,False
3214,doctissimo,jamais venu,ADV VER:pper,3,False,,,,False
3215,doctissimo,sorte qu',NOM PRO:REL,13,False,,,,False
3216,doctissimo,inconscient collectif,NOM ADJ,4,False,,,,False
3218,doctissimo,c\'est déjà,NOM ADV,71,False,,,,False
3220,doctissimo,gros travail,ADJ NOM,7,False,,,,False
3221,doctissimo,pleine face,ADJ NOM,9,False,,,,False
3222,doctissimo,c\'est qu\'elle,NOM ADJ,25,False,,,,False
3223,doctissimo,c\'est quelqu\'un,NOM ADJ,6,False,,,,False
3224,doctissimo,physique d\'une,ADJ NOM,5,False,,,,False
3225,doctissimo,faire preuve,VER:infi NOM,14,False,,,,False
3227,doctissimo,pharmacie en ligne,NOM PRP NOM,6,False,,,,True
3228,doctissimo,ligne est autorisé,NOM VER:pres VER:pper,3,False,,,,False
3229,doctissimo,consultation en ligne,NOM PRP NOM,4,False,,,,True
3230,doctissimo,prendre de la progestérone,VER:infi PRP DET:ART NOM,4,False,,,,False
3231,doctissimo,mettre au repos,VER:infi PRP:det NOM,8,False,,,,False
3232,doctissimo,éviter au max,VER:infi PRP:det NOM,3,False,,,,False
3233,doctissimo,bonne grossesse,ADJ NOM,80,False,,,,False
3234,doctissimo,risque de fausse,NOM PRP ADJ,17,False,,,,False
3235,doctissimo,risque de fausse couche,NOM PRP ADJ NOM,16,False,,,,False
3237,doctissimo,premiere grossesse,ADJ NOM,23,False,,,,False
3239,doctissimo,nouvelle sur le forum,ADJ PRP DET:ART NOM,32,False,,,,False
3240,doctissimo,aspegic nourrisson,ADJ NOM,4,False,,,,False
3241,doctissimo,taux beta,NOM VER:simp,4,False,,,,False
3242,doctissimo,taux beta hcg,NOM VER:simp NOM,3,False,,,,False
3243,doctissimo,beta hcg,VER:simp NOM,19,False,,,,False
3249,doctissimo,mauvaise surprise,ADJ NOM,12,False,,,,False
3250,doctissimo,bebe en bonne,NOM PRP ADJ,3,False,,,,False
3251,doctissimo,bonne sante,ADJ NOM,9,False,,,,False
3252,doctissimo,vieux post,ADJ NOM,9,False,,,,False
3253,doctissimo,progestérone et aspegic,NOM KON NOM,4,False,,,,False
3255,doctissimo,mort foetale,NOM ADJ,5,True,D005313,Mort foetale,Fetal Death,True
3256,doctissimo,mort foetale in utero,NOM ADJ ADJ NOM,3,False,,,,False
3257,doctissimo,foetale in utero,ADJ ADJ NOM,3,False,,,,False
3261,doctissimo,bonjour les fillesje,NOM DET:ART NOM,10,False,,,,False
3266,doctissimo,trimestre de grossesse,NOM PRP NOM,5,False,,,,False
3269,doctissimo,matin soir,NOM NOM,4,False,,,,False
3270,doctissimo,repas de noël,NOM PRP NOM,3,False,,,,False
3271,doctissimo,fêtes de fin,NOM PRP NOM,28,False,,,,False
3272,doctissimo,fêtes de fin d\'année,NOM PRP NOM VER:pper,4,False,,,,False
3273,doctissimo,fin d\'année,NOM VER:pper,13,False,,,,False
3274,doctissimo,qques semaines,ADJ NOM,3,False,,,,False
3275,doctissimo,belle sœur,ADJ NOM,15,False,,,,False
3276,doctissimo,déjà donné,ADV VER:pper,12,False,,,,False
3277,doctissimo,j\'ai bcp,VER:simp NOM,12,False,,,,False
3278,doctissimo,préféré attendre,VER:pper VER:infi,8,False,,,,False
3280,doctissimo,bout d\'un moment,NOM ADJ NOM,17,False,,,,False
3281,doctissimo,d\'un moment,ADJ NOM,19,False,,,,False
3282,doctissimo,j\'ai envie,VER:simp NOM,77,False,,,,False
3285,doctissimo,faire en même temps,VER:infi PRP ADJ NOM,8,False,,,,False
3290,doctissimo,amis proches,NOM ADJ,7,False,,,,False
3291,doctissimo,belle famille,ADJ NOM,37,True,,,,False
3293,doctissimo,péter un câble,VER:infi DET:ART NOM,11,False,,,,False
3294,doctissimo,serrer les dents,VER:infi DET:ART NOM,12,False,,,,False
3295,doctissimo,refaire des séances,VER:infi PRP:det NOM,3,False,,,,False
3296,doctissimo,mois après la dernière,NOM PRP DET:ART ADJ,6,False,,,,False
3297,doctissimo,dernière séance,ADJ NOM,23,False,,,,False
3298,doctissimo,léger creux,ADJ NOM,3,False,,,,False
3299,doctissimo,coup c\'est,NOM NOM,13,False,,,,False
3301,doctissimo,peau légèrement,NOM ADV,3,False,,,,False
3302,doctissimo,nouvelle dermato,ADJ NOM,4,False,,,,False
3304,doctissimo,soins c\'est,NOM ADJ,4,False,,,,False
3306,doctissimo,demande si c\'est,VER:pres ADV NOM,7,False,,,,False
3309,doctissimo,j\'y crois,NOM VER:pres,15,False,,,,False
3310,doctissimo,j\'me dis,NOM VER:pres,4,False,,,,False
3311,doctissimo,t\'as raison,VER:simp NOM,8,False,,,,False
3314,doctissimo,j\'ai peur qu\'elle,VER:simp NOM ADJ,7,False,,,,False
3315,doctissimo,peur qu\'elle,NOM ADJ,15,False,,,,False
3316,doctissimo,médecin esthétique,NOM ADJ,15,False,,,,False
3317,doctissimo,c\'est dangereux,NOM ADJ,4,False,,,,False
3319,doctissimo,acide hyaluronique,NOM ADJ,27,True,D006820,Acide hyaluronique,Hyaluronic Acid,True
3320,doctissimo,vraie solution,ADJ NOM,6,False,,,,False
3323,doctissimo,résultat définitif,NOM ADJ,6,False,,,,False
3326,doctissimo,prochaine séance,ADJ NOM,17,False,,,,False
3328,doctissimo,c\'est pas grave,NOM ADV ADJ,29,False,,,,False
3330,doctissimo,bout de peau,NOM PRP NOM,10,False,,,,False
3331,doctissimo,peau morte,NOM VER:pper,9,False,,,,False
3332,doctissimo,petit trou,ADJ NOM,29,False,,,,False
3333,doctissimo,c\'est peut-être,NOM ADV,37,False,,,,False
3334,doctissimo,séance laser,NOM NOM,3,False,,,,False
